q_num,q_statement,A,B,C,D,ans,explain,E
97,"Which service is best for storing common database query results, which helps to alleviatedatabase access load?",Amazon Machine Learning,Amazon SQS,Amazon ElastiCache,Amazon EC2 Instance Store, C,"Amazon ElastiCache for Redis is a great choice for implementing a highly available,distributed, and secure in-memory cache to decrease access latency,increase throughput,and ease the load off your relational or NoSQL databases and applications. ElastiCachecan serve frequently requested items at sub-millisecond response times, and enables youto easily scale for higher loads without growing the costlier backend databases. Databasequery results caching,persistent session caching, and full-page caching are all popular examples of caching withElastiCache for Redis.Reference:https://aws.amazon.com/products/databases/real-time-apps-elasticache-for-redis/",
98,Which of the following is a component of the shared responsibility model managed entirelyby AWS?,Patching operating system software,Encrypting data,Enforcing multi-factor authentication,Auditing physical data center assets, D,"Of course, Amazon is responsible for auditing physical data center assets and resourcessince it is the property of Amazon Inc. Customers have no access to physical sites, hencethey are not responsible for maintaining physical data center assets.",
99,Which options does AWS make available for customers who want to learn about securityin the cloud in an instructor-led setting? (Select TWO.),AWS Trusted Advisor,AWS Online Tech Talks,AWS Blog,AWS Forums, BE,"AWS Training and Certification builds your competence, confidence, and credibilitythrough practical cloud skills that help you innovate and build your future. Our content isbuilt by experts at AWS and updated regularly so you're always learning the latest andkeeping your cloud skills fresh.Amazon offer both digital and classroom training including private on-site training. You canchoose to learn online at your own pace or learn from an accredited AWS instructor.Whether you're just starting out, building on existing IT skills, or sharpening your cloudknowledge, AWS Training and Certification can help you be more effective and do more inthe cloud.Reference: https://aws.amazon.com/training/course-descriptions/",AWS Classroom Training
100,Which of the following features can be configured through the Amazon Virtual PrivateCloud (Amazon VPC) Dashboard? (Select TWO.),Amazon CloudFront distributions,Amazon Route 53,Security Groups,Subnets, CD,"Amazon Virtual Private Cloud (Amazon VPC) lets you provision a logically isolated sectionof the AWS Cloud where you can launch AWS resources in a virtual network that youdefine. You have complete control over your virtual networking environment, includingselection of your own IP address range, creation of subnets, and configuration of routetables and network gateways. You can use both IPv4 and IPv6 in your VPC for secure andeasy access to resources and applications.You can easily customize the network configuration for your Amazon VPC. For example,you can create a public-facing subnet for your web servers that has access to the Internet,and place your backend systems such as databases or application servers in aprivate-facing subnet with no Internet access.You canleverage multiple layers of security, including security groups and network accesscontrol lists, to help control access to Amazon EC2 instances in each subnet.Reference: https://aws.amazon.com/vpc/",Elastic Load Balancing
101,"If each department within a company has its own AWS account, what is one way to enableconsolidated billing?",Use AWS Budgets on each account to pay only to budget.,Contact AWS Support for a monthly bill.,Create an AWS Organization from the payer account and invite the other accounts to,"Put all invoices into one Amazon Simple Storage Service (Amazon S3) bucket, load", C,"join.data into Amazon Redshift, and then run a billing report.https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/consolidated-billing.html",
102,How do customers benefit from Amazon's massive economies of scale?,Periodic price reductions as the result of Amazon's operational efficiencies,New Amazon EC2 instance types providing the latest hardware,The ability to scale up and down when needed,Increased reliability in the underlying hardware of Amazon EC2 instances, A,,
103,Which AWS services can be used to gather information about AWS account activity?(Select TWO.),Amazon CloudFront,AWS Cloud9,AWS CloudTrail,AWS CloudHSM, CE,"AWS offers a solution that uses AWS CloudTrail to log account activity, Amazon Kinesis tocompute and stream metrics in real-time, and Amazon DynamoDB to durably store thecomputed data. Metrics are calculated for create, modify, and delete API calls for morethan 60 supported AWS services. The solution also features a dashboard that visualizesyour account activity in real-time.Reference: https://aws.amazon.com/solutions/real-time-insights-account-activity/",Amazon CloudWatch
104,Which of the following common IT tasks can AWS cover to free up company IT resources?(Select TWO.),Patching databases software,Testing application releases,Backing up databases,Creating database schema, AC,,Running penetration tests
105,In which scenario should Amazon EC2 Spot Instances be used?,A company wants to move its main website to AWS from an on-premises web server.,A company has a number of application services whose Service Level Agreement (SLA),A company's heavily used legacy database is currently running on-premises.,"A company has a number of infrequent, interruptible jobs that are currently using", D,requires 99.999% uptime.On-Demand Instances.https://docs.aws.amazon.com/whitepapers/latest/cost-optimization-leveraging-ec2-spot-instances/spot-instance-interruptions.html,
106,Which AWS feature should a customer leverage to achieve high availability of anapplication?,AWS Direct Connect,Availability Zones,Data centers,Amazon Virtual Private Cloud (Amazon VPC), B,This is to achieve High Availability for any web application (in this case SwiftCode)deployed in AWS. The following features will be present:High availability across multiple instances/multiple availability zones.Auto Scaling of instances (scale up and scale down) based on number of requests cominginAdditional Security to the instances/database that are in productionNo impact to end users during newer version of code deploymentNo Impact during patching the instancesReference:https://betsol.com/2018/01/how-to-make-high-availability-web-applications-on-amazon-web- services/,
107,Which is the minimum AWS Support plan that includes Infrastructure Event Managementwithout additional costs?,Enterprise,Business,Developer,Basic, A,https://aws.amazon.com/premiumsupport/plans/,
108,Which AWS service can serve a static website?,Amazon S3,Amazon Route 53,Amazon QuickSight,AWS X-Ray, A,"You can host a static website on Amazon Simple Storage Service (Amazon S3). On astatic website, individual webpages include static content. They might also containclient-side scripts. By contrast, a dynamic website relies on server-side processing,including server-side scripts such as PHP, JSP, or ASP.NET. Amazon S3 does not supportserver-side scripting.Reference: https://docs.aws.amazon.com/AmazonS3/latest/dev/WebsiteHosting.html",
109,How does AWS shorten the time to provision IT resources?,It supplies an online IT ticketing platform for resource requests.,It supports automatic code validation services.,It provides the ability to programmatically provision existing resources.,It automates the resource request process from a company's IT vendor list., C,,
110,What can AWS edge locations be used for? (Select TWO.),Hosting applications,Delivering content closer to users,Running NoSQL database caching services,Reducing traffic on the server by caching responses, BD,"CloudFront delivers your content through a worldwide network of data centers called edgelocations. When a user requests content that you're serving with CloudFront, the user isrouted to the edge location that provides the lowest latency (time delay), so that content isdelivered with the best possible performance.Reference:https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/Introduction.html",Sending notification messages to end users
